Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,large,"iri, geniş, büyük",sıfat,B1,,It's a large one.,Bu büyük biri.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,last,"sonuncu, son, tutunmak",fiil,B1,,I want to be last.,Ben sonuncu olmak istiyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,lasting,"kalıcı, sürme, sağlam ayakkabılık kumaş",sıfat,B2,,First impressions are the most lasting.,İlk izlenimler en kalıcı olanlardır.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,late,"gecikmiş, geç, her zamanki",sıfat,B1,,I'm a bit late.,Ben biraz geç kaldım.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,latest,"son, en son, yeni",sıfat,B1,,What is the latest news?,En son haber nedir?
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,laugh,"gülmek, gülme, gülüş",fiil,B1,,Don't laugh at me.,Bana gülme.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,laughter,"kahkaha, kahkahalar, hande",isim,B2,,We'll miss your laughter.,Biz kahkahanı özleyeceğiz.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,launch,"başlatmak, piyasaya sürmek, fırlatmak",fiil,B1,,The probe launch was successful.,Uydu fırlatılışı başarılıydı.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",law,"yasa, hukuk, kanun",isim,B1,,I'm a law student.,Hukuk öğrencisiyim.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",lawyer,"avukat, hukukçu, dava vekili",isim,B1,,I'm Tom's lawyer.,Tom'un avukatıyım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",lawyers,hukukçular,isim,B2,,Tom's parents were lawyers.,Tom'un anne-babası avukattı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,lay,"sermek, laid - laid, kurmak",fiil,B1,,I lay on my bed.,Yatağımda uzandım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,ldl,"düşük dansiteli lipoprotein, düşük dansiteli okside lipoprotein, düşük dansiteli lipoprotein kolesterol",isim,B1,,The investigation highlighted the critical role of ldl.,Soruşturma düşük dansiteli lipoprotein kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lea,"otlak, mera, çayır",isim,B1,,We've got a lead.,Bizim bir kurşunumuz var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lead,"yol göstermek, rehberlik etmek, sürmek",isim,B1,,We've got a lead.,Bizim bir kurşunumuz var.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,leaders,liderler,isim,B2,,Germany's leaders were losing hope.,Almanya liderleri umudunu kaybediyordu.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,leads,"yol açar, sabreden derviş muradına ermiş, aksilikler/sorunlar hep üst üste gelir",isim,B1,,He leads a hectic life.,O telaşlı bir hayat sürüyor.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,leaf,"yaprak vermek, yaprak, yapraklanmak",isim,B1,,What's on the leaf?,Yaprağın üzerindeki nedir?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,learner,"acemi, öğrenici, öğrenci",isim,B2,,I'm a fast learner.,Ben hızlı bir öğreniciyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,learning,"öğrenme, öğrenim, ilim",isim,B2,,I'm learning a lot.,Çok şey öğreniyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,least,"en az, asgari, en önemsiz kimse",sıfat,B1,,I can at least try.,En azından deneyebilirim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,leather,"deri, kayışla dövmek, deri ile donatmak",isim,B2,,It's made of leather.,O deriden yapılmış.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,leave,"bırakmak, ayrılmak, terk etmek",fiil,B1,,I can't leave Tom.,Tom'u terk edemem.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,leaves,"kitap yaprağı, yapraklar",isim,B1,,The train leaves at six.,Tren altıda ayrılır.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,leaving,"ayrılma, terketme, terk",isim,B2,,I'll be leaving now.,Şimdi gitmek üzereyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,lecture,"ders anlatmak, konferans vermek, uzun öğüt",isim,B2,,I don't need a lecture.,Bir derse ihtiyacım yok.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,led,"neden olmuş, çok küçük ampul, ışık yayan diyot",isim,B1,,He led a sober life.,"O, gösterişsiz bir hayat sürdü."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,legacy,"miras, kalıt, vasiyetname ile bırakılan mal veya varlık",isim,B1,,The investigation highlighted the critical role of legacy.,Soruşturma miras kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,leisure,"boş vakit, işsizlik, dinlence",isim,B2,,You can do it at your leisure.,Onu boş zamanınızda yapabilirsiniz.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,less,"daha az, eksi, daha az şey",sıfat,B1,,I ate less than Tom.,Tom'dan daha az yedim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,lessen,"eksiltmek, hafifletmek, eksilmek",fiil,B1,diminish,The pain has lessened a little.,Acı biraz azaldı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lesson,"ders, azar, hisse",isim,B1,,Is it the last lesson?,Bu son ders mi?
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,let,"izin vermek, let - let, vermek",fiil,B1,,Let's go on in.,Evde devam edelim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,let's,"coşmak, haber vermek, izin vermek",fiil,B1,,The research committee agreed to let's the proposed methodology.,Araştırma komitesi önerilen metodolojiyi coşmak konusunda mutabık kaldı.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,letter,"mektup, harf, basmak",isim,A1,,I sent you a letter.,Sana bir mektup gönderdim.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,level,"seviye, düzey, kademe",isim,B1,,The river level is high.,Nehir seviyesi yüksektir.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,levels,"sel sınıflama derecesi, çehrenin, yüzün üç basamağı",isim,B1,,My cholesterol levels are high.,Benim kolesterol seviyelerim yüksektir.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,life,"yaşam, hayat, can",isim,B1,,I owe him my life.,Ona hayatımı borçluyum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,lifestyle,"yaşam tarzı, yaşam stili, yaşam biçimi",isim,B2,,Do you live a healthy lifestyle?,Sağlıklı bir yaşam tarzı yaşıyor musunuz?
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,light,"aydınlık, nur, ışık",fiil,A1,,I ran a red light.,Ben kırmızı ışıkta geçtim.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,like,"beğenmek, hoşlanmak, sevmek",edat,B1,,I'd like a hug.,Ben sarılmak istiyorum.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),likely,"büyük ihtimalle, mantıklı, geleceği parlak",zarf,B1,,He's likely to come.,"O, muhtemelen gelecektir."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,limit,"sınırlandırmak, kısıtlamak, sınırlamak",isim,B1,,I'm over my limit.,Ben sınırımı aştım.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,limitation,"kısıtlama, sınırlama, limit",isim,C1,,It is important to know your own limitations.,Kendi sınırlarını bilmen önemlidir.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,limitations,"kısıtlamalar, kısıtlar, sınırlar",isim,C1,,It is important to know your own limitations.,Kendi sınırlarını bilmen önemlidir.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,limited,"kısıtlı, sınırlı, belirlenmiş",sıfat,B2,,It's a limited-time offer.,Bu sınırlı bir süre teklifi.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,limits,"çerçeve, hudut hatları, sınırlar",isim,B1,,This area's off limits.,Bu alan yasak bölge.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,line,"astarlamak, satır, hat",isim,B1,,I'm next in line.,Ben sırada bir sonrakiyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,listener,"dinleyici, dinleyen",isim,B2,,I'm a good listener.,Ben iyi bir dinleyiciyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,listening,"dinleme, dinleyiş, dinleyen",isim,B2,,I'm listening to you.,Seni dinliyorum.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,literature,"literatür, edebiyat, kaynak",isim,C1,,Do you like French literature?,Fransız edebiyatını beğenir misin?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,little,"ufak, az, küçük",sıfat,B1,,I'm a little fat.,Ben biraz şişmanım.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,live,"yaşamak, naklen, oturmak",sıfat,A1,,I live on a boat.,Bir teknede yaşıyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,liver,"karaciğer, ciğer, emaye dalgası",isim,B1,,I need a liver transplant.,Karaciğer nakline ihtiyacım var.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,living,"canlı, geçinmek, geçim",sıfat,B1,,I'm living here now.,Şimdi burada yaşıyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,loaded,"yüklü, yüklenmiş, hileli",sıfat,B1,,The gun isn't loaded.,Silah yüklü değil.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,local,"lokal, yerel, yerli",sıfat,B1,,Is this a local train?,Bu yerel bir tren mi?
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,locate,"yerini saptamak, yerini bulmak, yerini tespit etmek",fiil,B1,,We couldn't locate Tom.,Tom'u bulamadık.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,located,"tespit edilmiş, yeri tayin edilmiş, kain",sıfat,B2,,It's located in Boston.,"O, Boston'da yer almaktadır."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,location,"yer, konum, iskan",isim,B2,,This is an amazing location.,Bu inanılmaz bir yer.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,logical,"mantıklı, makul, mantığa uygun",sıfat,B2,,It seems logical to me.,Bana mantıklı görünüyor.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,long,"uzun, hasretini çekmek, susamak",fiil,B1,,I won't be long.,Yakında döneceğim.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,longer,"can atan kimse, özlemiş kimse, daha uzun",isim,B1,,I no longer need it.,Artık buna ihtiyacım yok.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,look,"bakmak, görünüş, bakış",fiil,B1,,I've had a look.,Bakıverdim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,looking,"bakış, görünme, bakma",isim,B2,,He's looking at me.,O bana bakıyor.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,looks,görünüş,isim,B1,,It looks OK to me.,Bu bana iyi görünüyor.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lorry,"kamyon, alçak, açık",isim,B1,,The investigation highlighted the critical role of lorry.,Soruşturma kamyon kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,lose,"kaybetmek, yitirmek, lost - lost",fiil,B1,,I won't lose it.,Onu kaybetmeyeceğim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,losing,"kaybediş, kaybetme, zarar gören",sıfat,B1,,I'm losing my hair.,Saçımı döküyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,loss,"zarar, kayıp, hasar",isim,B1,,It's a huge loss.,Bu büyük bir kayıp.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,lost,"kayıp, kaybolmuş, kaybetmek",sıfat,B1,,I think I'm lost.,Sanırım kayboldum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lot,"pay, bölüştürmek, taksim etmek",isim,B1,,I do talk a lot.,Ben çok konuşurum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,lots,"bir sürü, adçekmek, kura çekmek",fiil,B1,,It was lots of fun.,O çok eğlenceliydi.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,loud,"yüksek, yüksek sesle, kaba",sıfat,B1,,Don't talk so loud.,Yüksek sesle konuşma.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,love,"sevmek, sevda, aşk",fiil,B1,,I'd love to go.,Gitmek istiyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lower,"düşürmek, alçaltmak, indirmek",isim,B1,,Can you lower the price?,Fiyatı düşürebilir misiniz?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,lowering,"tezellül, alçaltma, indirme",isim,B2,,Are you taking a cholesterol-lowering medication?,Kolestrol düşürücü bir ilaç alıyor musun?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,luck,"şans, talih, akyazı",isim,B1,,I'll try my luck.,Ben şansımı deneyeceğim.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),luckily,"çok şükür, talihine, şans eseri",zarf,B2,,"Luckily, we have a plan.",Şansımıza bir planımız var.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,lullabies,ninni,isim,B2,,The investigation highlighted the critical role of lullabies.,Soruşturma ninni kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lumber,"kereste, ormanda ağaç kesmek, ağaç kesmek",isim,B1,,We need lumber to build a barn.,Ahır inşa etmek için keresteye ihtiyacımız var.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,lunar,"ay ile ilgili, kameri, ay",sıfat,B1,,Lunar eclipses can be total or partial.,Ay tutulmaları tam ya da kısmi olabilir.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",lung,"akciğer, ciğer",isim,B1,,He's got lung cancer.,Onun akciğer kanseri var.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",lungs,"akciğer, ciğer, akciğerler",isim,B1,,Smoking does damage your lungs.,Sigara içmek akciğerlerinize zarar verir.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,made,"yapılmış, yapmak  eyleminin ikinci hali, yapılı",sıfat,B1,,I made a U-turn.,U dönüşü yaptım.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,magic,"sihirbazlık, büyü, sihir",sıfat,B1,,This is a magic wand.,Bu sihirli bir değnek.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,magician,"sihirbaz, büyücü, gözbağcı",isim,B2,,I'm not a magician.,Ben sihirbaz değilim.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,magician's,"sihirbaz, büyücü, gözbağcı",isim,C1,,The investigation highlighted the critical role of magician's.,Soruşturma sihirbaz kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,maintain,"sürdürmek, bakım yapmak, bakmak",fiil,B2,,We need to maintain focus.,Bizim odakları korumamız gerekiyor.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,maintaining,"koruma, kollama",isim,C1,,Maintaining that tie is important.,O kravata bakım yapmak önemlidir.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,maintenance,"bakım, muhafaza, idame",isim,C1,,The website was down for maintenance.,Web sitesi bakım için devre dışıydı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,major,"asıl, büyük, başlıca",isim,B1,,This is a major issue.,Bu büyük bir sorun.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,make,"yapmak, made - made, katetmek",fiil,B1,,I can't make it.,Ben onu yapamam.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,makes,"bahaneci, beni öldürmeyen şey beni güçlendirir, başarı aptal insanları bilge gibi gösterir",isim,B1,,It makes me feel old.,Bu beni yaşlı hissettiriyor.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,making,"yapma, etme, yapım",isim,B1,,I'm making a list.,Ben bir liste yapıyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,male,"erkek, bay, erkek fiş",isim,B1,,Is that dog male or female?,O köpek erkek mi yoksa dişi mi?
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,man,"insan, adam, erkek",isim,A1,,I'm a man now.,Ben artık bir erkeğim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,manage,"işletmek, idare etmek, yönetmek",fiil,B1,,I think I'll manage.,Becereceğimi sanıyorum.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,management,"işletme, idare, yönetim",isim,C1,,We're under new management.,Yeni yönetim altındayız.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,manager,"menajer, idareci, yönetici",isim,B2,,I'm not the manager.,Ben yönetici değilim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,managing,"yönetme, idare etme, idari",sıfat,B2,,How are you managing it?,Nasıl üstesinden geliyorsun?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,mankind,"insanlık, erkekler, insan soyu",isim,B2,,I fear for the future of mankind.,Ben insanlığın geleceği için korkuyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,mantle,"harmaniye, lamba gömleği, örten şey",isim,B1,,The investigation highlighted the critical role of mantle.,Soruşturma harmaniye kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,manufacture,"imal etmek, üretim, uydurmak",isim,C1,,Robots are used to manufacture cars.,Robotlar araba üretmek içindir.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,manufacturer,"imalatçı, yapımcı, üreticisi",isim,C1,,The manufacturer guaranteed the new machine for 5 years.,Üretici yeni makineye 5 yıl garanti verdi.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,many,"birçok, çok, çoğu",sıfat,B1,,Don't eat too many.,Çok fazla yeme.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,mark,"işaretlemek, iz, işaret",isim,B1,,I want to leave a mark.,Bir iz bırakmak istiyorum.
